Time (s) 30g 1	Angular Velocity (rad/s) 30g 1	Angular Velocity (rad/s) 30g 2	Angular Velocity (rad/s) 30g 3	Angular Velocity (rad/s) 30g 4	Angular Velocity (rad/s) 30g 5
0.5	0	0.407	0.291	0.175	0.291
1	0.349	1.047	0.873	0.756	0.931
1.5	1.047	1.629	1.513	1.454	1.571
2	1.571	2.269	2.269	1.92	2.211
2.5	2.269	2.851	2.851	2.502	2.793
3	2.909	3.549	3.374	3.083	3.432
3.5	3.491	4.189	3.956	3.665	4.014
4	4.131	4.829	4.596	4.363	4.596
4.5	4.712	5.411	5.178	5.003	5.12
5	5.236	6.05	5.76	5.585	5.701
5.5	5.934	6.749	6.4	6.283	6.341
6	6.458	7.272	6.981	6.807	6.807
6.5	7.039	7.912	7.563	7.389	7.505
7	7.563	8.494	8.087	8.029	8.029
7.5	8.261	8.901	8.727	8.552	8.552
